web-scraper-order,web-scraper-start-url,company_link,company_link-href,brand_link,brand_link-href,company,company-href,name,rating-src,brand,brand-href
"1594218389-2088","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Carter's","https://guide.ethical.org.au/company/?company=5278","Carter's","https://guide.ethical.org.au/images/icons-small/icon_red.png","",""
"1594206937-535","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Shiseido Australia","https://guide.ethical.org.au/company/?company=5001","Shiseido Australia","https://guide.ethical.org.au/images/icons-small/icon_orange.png","",""
"1594209363-875","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Osram","https://guide.ethical.org.au/company/?company=5326","Osram","https://guide.ethical.org.au/images/icons-small/icon_yellow.png","",""
"1594205580-352","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Thermomix in Australia","https://guide.ethical.org.au/company/?company=5830","Thermomix in Australia","https://guide.ethical.org.au/images/icons-small/icon_orange.png","",""
"1594216810-1873","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","DuPont","https://guide.ethical.org.au/company/?company=2408","DuPont","https://guide.ethical.org.au/images/icons-small/icon_red.png","",""
"1594218323-2079","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","CCL","https://guide.ethical.org.au/company/?company=2042","CCL","https://guide.ethical.org.au/images/icons-small/icon_yellow.png","",""
"1594219642-2265","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Bellview","https://guide.ethical.org.au/company/?company=1749","Bellview","https://guide.ethical.org.au/images/icons-small/icon_grey.png","",""
"1594210995-1099","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Milton","https://guide.ethical.org.au/company/?company=4195","Milton","https://guide.ethical.org.au/images/icons-small/icon_grey.png","",""
"1594217497-1966","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Crescent Capital","https://guide.ethical.org.au/company/?company=4255","Crescent Capital","https://guide.ethical.org.au/images/icons-small/icon_grey.png","",""
"1594209054-830","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Peerless Foods","https://guide.ethical.org.au/company/?company=510","Peerless Foods","https://guide.ethical.org.au/images/icons-small/icon_orange.png","",""
"1594208839-799","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Pfizer","https://guide.ethical.org.au/company/?company=517","Pfizer","https://guide.ethical.org.au/images/icons-small/icon_red.png","",""
"1594212708-1325","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","KORA Organics by Miranda Kerr","https://guide.ethical.org.au/company/?company=1241","KORA Organics by Miranda Kerr","https://guide.ethical.org.au/images/icons-small/icon_ltgreen.png","",""
"1594207029-548","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Select Health Products","https://guide.ethical.org.au/company/?company=590","Select Health Products","https://guide.ethical.org.au/images/icons-small/icon_grey.png","",""
"1594214337-1536","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","HERO Condoms","https://guide.ethical.org.au/company/?company=1957","HERO Condoms","https://guide.ethical.org.au/images/icons-small/icon_grey.png","",""
"1594211616-1175","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Massel","https://guide.ethical.org.au/company/?company=417","Massel","https://guide.ethical.org.au/images/icons-small/icon_ltgreen.png","",""
"1594219705-2274","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Beerenberg","https://guide.ethical.org.au/company/?company=2582","Beerenberg","https://guide.ethical.org.au/images/icons-small/icon_ltgreen.png","",""
"1594212031-1232","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Lotte Confectionery","https://guide.ethical.org.au/company/?company=4502","Lotte Confectionery","https://guide.ethical.org.au/images/icons-small/icon_red.png","",""
"1594218153-2056","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Chem Pack","https://guide.ethical.org.au/company/?company=169","Chem Pack","https://guide.ethical.org.au/images/icons-small/icon_grey.png","",""
"1594204737-233","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Vitasoy Australia","https://guide.ethical.org.au/company/?company=676","Vitasoy Australia","https://guide.ethical.org.au/images/icons-small/icon_red.png","",""
"1594219063-2181","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Boundary Bend","https://guide.ethical.org.au/company/?company=2078","Boundary Bend","https://guide.ethical.org.au/images/icons-small/icon_ltgreen.png","",""
"1594213392-1416","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","JB Hi-Fi","https://guide.ethical.org.au/company/?company=5341","JB Hi-Fi","https://guide.ethical.org.au/images/icons-small/icon_orange.png","",""
"1594217409-1954","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Cypress & Sons","https://guide.ethical.org.au/company/?company=208","Cypress & Sons","https://guide.ethical.org.au/images/icons-small/icon_ltgreen.png","",""
"1594217259-1934","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","De Bortoli Wines","https://guide.ethical.org.au/company/?company=3310","De Bortoli Wines","https://guide.ethical.org.au/images/icons-small/icon_ltgreen.png","",""
"1594205336-317","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Toshiba","https://guide.ethical.org.au/company/?company=2346","Toshiba","https://guide.ethical.org.au/images/icons-small/icon_red.png","",""
"1594218452-2097","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Cargill Australia","https://guide.ethical.org.au/company/?company=3562","Cargill Australia","https://guide.ethical.org.au/images/icons-small/icon_red.png","",""
"1594207145-565","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Schwan-Stabilo Group","https://guide.ethical.org.au/company/?company=4361","Schwan-Stabilo Group","https://guide.ethical.org.au/images/icons-small/icon_grey.png","",""
"1594217884-2019","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Coles Group","https://guide.ethical.org.au/company/?company=186","Coles Group","https://guide.ethical.org.au/images/icons-small/icon_yellow.png","",""
"1594208756-787","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Pigeon Corporation","https://guide.ethical.org.au/company/?company=3048","Pigeon Corporation","https://guide.ethical.org.au/images/icons-small/icon_orange.png","",""
"1594207748-650","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Riverina Dairy","https://guide.ethical.org.au/company/?company=3922","Riverina Dairy","https://guide.ethical.org.au/images/icons-small/icon_yellow.png","",""
"1594214034-1496","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","HP","https://guide.ethical.org.au/company/?company=1546","HP","https://guide.ethical.org.au/images/icons-small/icon_yellow.png","",""
"1594220078-2328","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Avon Australia","https://guide.ethical.org.au/company/?company=4580","Avon Australia","https://guide.ethical.org.au/images/icons-small/icon_red.png","",""
"1594213433-1421","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","James Boags","https://guide.ethical.org.au/company/?company=3755","James Boags","https://guide.ethical.org.au/images/icons-small/icon_yellow.png","",""
"1594220775-2428","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Amer Sports Australia","https://guide.ethical.org.au/company/?company=4851","Amer Sports Australia","https://guide.ethical.org.au/images/icons-small/icon_yellow.png","",""
"1594217142-1918","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Dell Technologies","https://guide.ethical.org.au/company/?company=2365","Dell Technologies","https://guide.ethical.org.au/images/icons-small/icon_orange.png","",""
"1594211225-1126","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Merisant","https://guide.ethical.org.au/company/?company=436","Merisant","https://guide.ethical.org.au/images/icons-small/icon_red.png","",""
"1594213911-1480","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Humphrey Law","https://guide.ethical.org.au/company/?company=5297","Humphrey Law","https://guide.ethical.org.au/images/icons-small/icon_ltgreen.png","",""
"1594204031-139","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Yeojin Bae","https://guide.ethical.org.au/company/?company=4936","Yeojin Bae","https://guide.ethical.org.au/images/icons-small/icon_grey.png","",""
"1594216089-1777","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Fields Knitwear","https://guide.ethical.org.au/company/?company=4984","Fields Knitwear","https://guide.ethical.org.au/images/icons-small/icon_grey.png","",""
"1594221234-2493","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","A2 Milk Company","https://guide.ethical.org.au/company/?company=4690","A2 Milk Company","https://guide.ethical.org.au/images/icons-small/icon_orange.png","",""
"1594208261-719","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","PZ Cussons","https://guide.ethical.org.au/company/?company=540","PZ Cussons","https://guide.ethical.org.au/images/icons-small/icon_orange.png","",""
"1594219994-2316","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Ballande Group","https://guide.ethical.org.au/company/?company=4477","Ballande Group","https://guide.ethical.org.au/images/icons-small/icon_grey.png","",""
