web-scraper-order,web-scraper-start-url,directory_link,directory_link-href,company,rating
"1593892510-6839","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","123","http://www.corporatecritic.org/companiesatoz/123.aspx","[MERGED] Dunfermline Building Society","13"
"1593892458-6002","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Glen -Gregg","http://www.corporatecritic.org/companiesatoz/Glen%20.aspx","Gold Peak Industries (Holdings) Ltd","8.5"
"1593892451-5921","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Hero-Hugo","http://www.corporatecritic.org/companiesatoz/Hero.aspx","Homecare Group Holdings","14"
"1593892442-5836","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","J","http://www.corporatecritic.org/companiesatoz/J.aspx","Jeyes Group Plc","(8)"
"1593892375-4909","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","V-Viva!","http://www.corporatecritic.org/companiesatoz/V.aspx","VAUDE Sport GmbH & Co. KG","13"
"1593892497-6631","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Bellw-BMI","http://www.corporatecritic.org/companiesatoz/Bellw.aspx","Best Western International Inc","14"
"1593892373-4900","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Vivar-VSM G","http://www.corporatecritic.org/companiesatoz/Vivar.aspx","Voluntary Service Overseas","???"
"1593892494-6589","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","BMK H-Brita","http://www.corporatecritic.org/companiesatoz/BMK%20H.aspx","Bodywise (UK) Ltd","14"
"1593892433-5727","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Lette-Lolli","http://www.corporatecritic.org/companiesatoz/Lette.aspx","Liverpool Organic Brewery","???"
"1593892447-5891","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","I-Islan","http://www.corporatecritic.org/companiesatoz/I.aspx","Iskra Wind Turbine Manufacturers Ltd","14"
"1593892370-4862","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","W-Whitb","http://www.corporatecritic.org/companiesatoz/W.aspx","Wala-Stiftung","13"
"1593892471-6194","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","É","http://www.corporatecritic.org/companiesatoz/%C3%89.aspx","Ebooks.com pty limited","14"
"1593892393-5181","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Skadd-Speci","http://www.corporatecritic.org/companiesatoz/Skadd.aspx","Soma Organic","14"
"1593892510-6846","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","123","http://www.corporatecritic.org/companiesatoz/123.aspx","21st Century Fox Inc","6.5"
"1593892397-5270","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","S-Scora","http://www.corporatecritic.org/companiesatoz/S.aspx","Schroders plc","4.5"
"1593892435-5743","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","L-Leona","http://www.corporatecritic.org/companiesatoz/L.aspx","La Poste","14"
"1593892397-5265","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","S-Scora","http://www.corporatecritic.org/companiesatoz/S.aspx","SAUR","14"
"1593892499-6670","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","B-Bella","http://www.corporatecritic.org/companiesatoz/B.aspx","Bambino Mio Ltd","12"
"1593892464-6126","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Flowf-Funda","http://www.corporatecritic.org/companiesatoz/Flowf.aspx","FTF Sweets","14"
"1593892426-5608","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Maya-Minis","http://www.corporatecritic.org/companiesatoz/Maya.aspx","McBride plc","7.5"
"1593892474-6269","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","E","http://www.corporatecritic.org/companiesatoz/E.aspx","Eastman Kodak Company","7"
"1593892424-5574","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Mio T-Munic","http://www.corporatecritic.org/companiesatoz/Mio%20T.aspx","Mitsubishi Materials Corporation","(14)"
"1593892433-5730","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Lette-Lolli","http://www.corporatecritic.org/companiesatoz/Lette.aspx","Living Nature Natural Products Ltd","(14)"
"1593892494-6584","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","BMK H-Brita","http://www.corporatecritic.org/companiesatoz/BMK%20H.aspx","BMO Financial Group","4"
"1593892375-4917","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","V-Viva!","http://www.corporatecritic.org/companiesatoz/V.aspx","VEGO Good Food UG","14"
"1593892395-5211","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Scott-Sixty","http://www.corporatecritic.org/companiesatoz/Scott.aspx","Severin-Elektrik GmbH & Co. KG","???"
"1593892397-5241","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","S-Scora","http://www.corporatecritic.org/companiesatoz/S.aspx","Safaricom","(???)"
"1593892395-5213","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Scott-Sixty","http://www.corporatecritic.org/companiesatoz/Scott.aspx","Severn Trent plc","13"
"1593892395-5230","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Scott-Sixty","http://www.corporatecritic.org/companiesatoz/Scott.aspx","Silampos SA","14"
"1593892474-6267","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","E","http://www.corporatecritic.org/companiesatoz/E.aspx","Earthmonk","???"
"1593892381-5020","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","The W-TP-Li","http://www.corporatecritic.org/companiesatoz/The%20W.aspx","TofuTown.com GmbH","13.5"
"1593892384-5050","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","The C-The T","http://www.corporatecritic.org/companiesatoz/The%20C.aspx","THE FAYREFIELD GROUP LTD","11"
"1593892377-4965","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","U","http://www.corporatecritic.org/companiesatoz/U.aspx","Urban Outfitters, Inc","14"
"1593892474-6262","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","E","http://www.corporatecritic.org/companiesatoz/E.aspx","E. Merck oHG","14"
"1593892435-5747","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","L-Leona","http://www.corporatecritic.org/companiesatoz/L.aspx","LAN Airlines S.A.","14"
"1593892393-5192","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Skadd-Speci","http://www.corporatecritic.org/companiesatoz/Skadd.aspx","SPAR Food Distributors Ltd","6.5"
"1593892397-5271","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","S-Scora","http://www.corporatecritic.org/companiesatoz/S.aspx","SCHUCO International KG","14"
"1593892508-6823","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","A-Agfa-","http://www.corporatecritic.org/companiesatoz/A.aspx","Active Fitzroy Investment LP","???"
"1593892497-6642","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Bellw-BMI","http://www.corporatecritic.org/companiesatoz/Bellw.aspx","Big Bear Group Ltd","7.5"
"1593892397-5238","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","S-Scora","http://www.corporatecritic.org/companiesatoz/S.aspx","SA Brain & Co Ltd","11.5"
"1593892381-5024","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","The W-TP-Li","http://www.corporatecritic.org/companiesatoz/The%20W.aspx","TOMS Shoes LLC","9"
"1593892503-6743","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","AMT C-Asahi","http://www.corporatecritic.org/companiesatoz/AMT%20C.aspx","Aria Assistance Group Ltd","14"
"1593892460-6082","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","G-Glebe","http://www.corporatecritic.org/companiesatoz/G.aspx","Give A Car","14"
"1593892393-5190","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Skadd-Speci","http://www.corporatecritic.org/companiesatoz/Skadd.aspx","Southern Petrochemical Industries Corporation","14"
"1593892408-5414","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Phile-Prezz","http://www.corporatecritic.org/companiesatoz/Phile.aspx","Pon Holdings B.V.","???"
"1593892377-4956","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","U","http://www.corporatecritic.org/companiesatoz/U.aspx","Unilever PLC","5"
