web-scraper-order,web-scraper-start-url,category_link,category_link-href,company,rating
"1593950054-1219","https://directory.goodonyou.eco/","Bags378","https://directory.goodonyou.eco/categories/bags","pinqponq","Rated : Good"
"1593950054-1305","https://directory.goodonyou.eco/","Bags378","https://directory.goodonyou.eco/categories/bags","Moumout","Rated : It's a start"
"1593950380-4841","https://directory.goodonyou.eco/","Tops887","https://directory.goodonyou.eco/categories/tops","Left Edit","Rated : Great"
"1593950349-4738","https://directory.goodonyou.eco/","Bottoms749","https://directory.goodonyou.eco/categories/bottoms","Rosie Assoulin","Rated : It's a start"
"1593950318-4439","https://directory.goodonyou.eco/","Denim403","https://directory.goodonyou.eco/categories/denim","Gal Meets Glam","Rated : Not good enough"
"1593950084-1615","https://directory.goodonyou.eco/","Shoes421","https://directory.goodonyou.eco/categories/shoes","Flamingos' Life","Rated : Good"
"1593950136-2277","https://directory.goodonyou.eco/","Swimwear277","https://directory.goodonyou.eco/categories/swimwear","Mango","Rated : Not good enough"
"1593950054-1507","https://directory.goodonyou.eco/","Bags378","https://directory.goodonyou.eco/categories/bags","Miu Miu","Rated : Not good enough"
"1593950084-1567","https://directory.goodonyou.eco/","Shoes421","https://directory.goodonyou.eco/categories/shoes","Jack Wolfskin","Rated : Good"
"1593950152-2452","https://directory.goodonyou.eco/","Sleepwear110","https://directory.goodonyou.eco/categories/sleepwear","Country Road","Rated : Good"
"1593950256-3370","https://directory.goodonyou.eco/","Sweaters & Knitwear620","https://directory.goodonyou.eco/categories/knitwear","No Nasties","Rated : Great"
"1593950380-5147","https://directory.goodonyou.eco/","Tops887","https://directory.goodonyou.eco/categories/tops","Gramicci","Rated : It's a start"
"1593950349-4595","https://directory.goodonyou.eco/","Bottoms749","https://directory.goodonyou.eco/categories/bottoms","Neu Nomads","Rated : Good"
"1593950380-5016","https://directory.goodonyou.eco/","Tops887","https://directory.goodonyou.eco/categories/tops","Adidas","Rated : Good"
"1593950084-1859","https://directory.goodonyou.eco/","Shoes421","https://directory.goodonyou.eco/categories/shoes","Tyler Ellis","Rated : Not good enough"
"1593950136-2356","https://directory.goodonyou.eco/","Swimwear277","https://directory.goodonyou.eco/categories/swimwear","KILLSTAR","Rated : Not good enough"
"1593950318-4171","https://directory.goodonyou.eco/","Denim403","https://directory.goodonyou.eco/categories/denim","Eastpak","Rated : It's a start"
"1593950349-4743","https://directory.goodonyou.eco/","Bottoms749","https://directory.goodonyou.eco/categories/bottoms","Johnstons of Elgin","Rated : It's a start"
"1593950023-998","https://directory.goodonyou.eco/","Accessories585","https://directory.goodonyou.eco/categories/accessories","VAUDE","Rated : Good"
"1593950256-3667","https://directory.goodonyou.eco/","Sweaters & Knitwear620","https://directory.goodonyou.eco/categories/knitwear","Bibico","Rated : Not good enough"
"1593950398-5196","https://directory.goodonyou.eco/","Activewear162","https://directory.goodonyou.eco/categories/activewear","VAUDE","Rated : Good"
"1593950226-3067","https://directory.goodonyou.eco/","Outerwear641","https://directory.goodonyou.eco/categories/outerwear","Naz","Rated : Good"
"1593950349-4712","https://directory.goodonyou.eco/","Bottoms749","https://directory.goodonyou.eco/categories/bottoms","Reef","Rated : It's a start"
"1593950318-4293","https://directory.goodonyou.eco/","Denim403","https://directory.goodonyou.eco/categories/denim","KSENIASCHNAIDER","Rated : Not good enough"
"1593950398-5323","https://directory.goodonyou.eco/","Activewear162","https://directory.goodonyou.eco/categories/activewear","Amir Slama","Rated : Not good enough"
"1593950182-2585","https://directory.goodonyou.eco/","Basics & Intimates575","https://directory.goodonyou.eco/categories/basics","Girlfriend Collective","Rated : Great"
"1593950113-2119","https://directory.goodonyou.eco/","Maternity44","https://directory.goodonyou.eco/categories/maternity","Zalando Essentials","Rated : It's a start"
"1593950349-4502","https://directory.goodonyou.eco/","Bottoms749","https://directory.goodonyou.eco/categories/bottoms","Elle Evans","Rated : Good"
"1593950226-3136","https://directory.goodonyou.eco/","Outerwear641","https://directory.goodonyou.eco/categories/outerwear","VOZ","Rated : Good"
"1593950226-3042","https://directory.goodonyou.eco/","Outerwear641","https://directory.goodonyou.eco/categories/outerwear","Jyoti - Fair Works","Rated : Good"
"1593950102-2039","https://directory.goodonyou.eco/","Plus Size162","https://directory.goodonyou.eco/categories/plus-size","Steps","Rated : Not good enough"
"1593950349-4524","https://directory.goodonyou.eco/","Bottoms749","https://directory.goodonyou.eco/categories/bottoms","Les Recuperables","Rated : Good"
"1593950256-3528","https://directory.goodonyou.eco/","Sweaters & Knitwear620","https://directory.goodonyou.eco/categories/knitwear","Bershka","Rated : It's a start"
"1593950084-1650","https://directory.goodonyou.eco/","Shoes421","https://directory.goodonyou.eco/categories/shoes","Kuwaii","Rated : It's a start"
"1593950349-4633","https://directory.goodonyou.eco/","Bottoms749","https://directory.goodonyou.eco/categories/bottoms","Lucy & Yak","Rated : Good"
"1593950084-1562","https://directory.goodonyou.eco/","Shoes421","https://directory.goodonyou.eco/categories/shoes","People Tree","Rated : Great"
"1593950318-4336","https://directory.goodonyou.eco/","Denim403","https://directory.goodonyou.eco/categories/denim","Sportsgirl","Rated : Not good enough"
"1593950287-3941","https://directory.goodonyou.eco/","Dresses & Playsuits614","https://directory.goodonyou.eco/categories/dresses","Tucker + Tate","Rated : It's a start"
"1593950380-5029","https://directory.goodonyou.eco/","Tops887","https://directory.goodonyou.eco/categories/tops","Marks & Spencer","Rated : Good"
"1593950318-4433","https://directory.goodonyou.eco/","Denim403","https://directory.goodonyou.eco/categories/denim","Rebecca Taylor","Rated : We avoid"
"1593950318-4406","https://directory.goodonyou.eco/","Denim403","https://directory.goodonyou.eco/categories/denim","Pépé Jeans","Rated : Not good enough"
"1593950256-3512","https://directory.goodonyou.eco/","Sweaters & Knitwear620","https://directory.goodonyou.eco/categories/knitwear","David Jones","Rated : Good"
"1593950113-2122","https://directory.goodonyou.eco/","Maternity44","https://directory.goodonyou.eco/categories/maternity","GEORGE","Rated : Not good enough"
"1593950318-4109","https://directory.goodonyou.eco/","Denim403","https://directory.goodonyou.eco/categories/denim","Frugi","Rated : Good"
"1593950256-3696","https://directory.goodonyou.eco/","Sweaters & Knitwear620","https://directory.goodonyou.eco/categories/knitwear","Glassons","Rated : Not good enough"
"1593950054-1263","https://directory.goodonyou.eco/","Bags378","https://directory.goodonyou.eco/categories/bags","The Level Collective","Rated : Good"
"1593950349-4747","https://directory.goodonyou.eco/","Bottoms749","https://directory.goodonyou.eco/categories/bottoms","Kristinit","Rated : It's a start"
"1593950398-5258","https://directory.goodonyou.eco/","Activewear162","https://directory.goodonyou.eco/categories/activewear","Hunkemöller","Rated : Not good enough"
"1593950136-2248","https://directory.goodonyou.eco/","Swimwear277","https://directory.goodonyou.eco/categories/swimwear","Bik Bok","Rated : It's a start"
"1593950182-2798","https://directory.goodonyou.eco/","Basics & Intimates575","https://directory.goodonyou.eco/categories/basics","Samantha Pleet","Rated : It's a start"
"1593950023-1037","https://directory.goodonyou.eco/","Accessories585","https://directory.goodonyou.eco/categories/accessories","Smartwool","Rated : It's a start"
"1593950054-1344","https://directory.goodonyou.eco/","Bags378","https://directory.goodonyou.eco/categories/bags","Esprit","Rated : It's a start"
"1593950084-1654","https://directory.goodonyou.eco/","Shoes421","https://directory.goodonyou.eco/categories/shoes","Gucci","Rated : It's a start"
"1593950226-3153","https://directory.goodonyou.eco/","Outerwear641","https://directory.goodonyou.eco/categories/outerwear","Ace & Jig","Rated : Good"
"1593950287-3834","https://directory.goodonyou.eco/","Dresses & Playsuits614","https://directory.goodonyou.eco/categories/dresses","Beaumont Organic","Rated : Good"
"1593950054-1204","https://directory.goodonyou.eco/","Bags378","https://directory.goodonyou.eco/categories/bags","SKFK","Rated : Great"
