SPAR International,65
Camphill Village Trust Limited,65
Biotta AG,65
Grupo Noboa S.A.,65
Marc Laurent SA,65
Chocolaterie Guylian Nv,12
First Foods,65
Blue Diamond Ltd,18
Ferrero SpA,21
Britannia Hotels,65
Verizon Communications Inc,12
Fender Musical Instruments Corporation,65
Southern Co Inc,59
Swaddlebees,65
Cybex Industrial Ltd,65
Campbell Soup Co,56
Neal's Yard (Natural Remedies) Limited,62
Lindam Ltd,65
Swatch Group Ltd (The),65
Hoya Corporation,62
Broughton Ales,65
HDI Haftpflichtverband der Deutschen Industrie Versicherungsverein auf Gegenseitigkeit,18
First Data Corporation,62
GasTerra,18
Diana Dolls Fashion Inc.,65
Dr. August Oetker Kg,0
Weeks Foods Ltd,56
Allianz SE,4
Triumph International Spiesshofer & Braun,41
Belkin International,65
Allen & Overy LLP,30
Karabay Limited [Dissolved],65
Armor Group,65
Investor AB,39
Elysia,65
Birkenstock Orthopädie GmbH & Co.KG,36
Lenovo Group Limited,24
Baby B Free Ltd,65
Metsäliitto Co-operative,65
OTB SpA,15
Plamil Foods Ltd,71
GCH Capital Ltd,65
Dualit Ltd,36
Wartsila,65
Serco Group plc,15
Wesfarmers Ltd,12
Acorn Holdings B.V. (AHBV),18
Harman International Industries Inc.,65
Domino's Pizza Group Plc,24
Triballat Noyal,39
WH Brakspear & Sons plc,65
Powell's City of Books,65
ACDOCO,33
Bridgepoint Group Limited,15
Ten Alps PLC,65
Hilco Global,27
Laura Ashley Holdings Plc,65
Tate & Lyle plc,59
Zweckverband Oberschwabishe Elekrizitatswerke (OEW),65
Macquarie Group Limited,18
Triangle Wholefoods Collective Ltd (t/a Suma Wholefoods),62
Castle Dairies Ltd,65
Leica AG,65
The Governor and Company of Bank of Ireland,6
Groupe Renault,10
NICKYS NURSERY LTD,65
Brintons Ltd,65
Brown-Forman Corporation,62
Musgrave Group,65
Doro AB,33
Essential Care (Organics) Ltd,68
Filsol Solar Ltd,65
Nadian Pty Ltd,65
Reckitt Benckiser Group PLC,10
China National Foreign Trade Transportation Corporation,65
Saker Vegetarian Foods Ltd,65
Woolworths Group Plc (Historical Company),65
G-Star RAW C.V.,33
Market Harborough Building Society,65
Bechtel Group Inc,65
Colgate-Palmolive Co,6
[OLD] Alexon Group Plc,59
The Fair Trade Spirits Company,65
Olympus Corporation,15
Life Insurance Corporation of India,18
EE Wholesale UK,71
Mothercare plc,59
Patagonia Works,54
Nichols plc,33
Korg Inc,65
PLB Group,65
Alder Tree Ltd,54
Metro Bank Plc,56
Apeejay Surrendra Group,54
Benevo Foods,71
September Organic Dairy,65
Massey Energy Company,65
Fung Group,12
Lollipop Childrens Products Ltd,65
Mastercard Incorporated,65
ABN AMRO Holding NV,65
VNG (Verbundnetz Gaz) AG,65
Robert Saunders (Chigwell) Ltd,65
Bibico,32
D & G SRL,59
Unternehmensgruppe Theo Müller,27
Fairtrade Warehouse,65
Carrs Milling Industries,65
Samuel Smith Old Brewery (Tadcaster) Ltd,54
Carlson Companies Inc,65
First Grade International Ltd,50
Lukas Meindl GmbH & Co.,30
Lazard LLC,65
Hyun Won Inc.,65
Hubaco Ltd,65
Haci Omer Sabanci Holding AS,65
Roland Corporation,65
Goodlife Foods Ltd,59
WPP plc,33
British Land Company plc,62
IT'S ONLY NATURAL LIMITED,54
Talktalk Telecom Group PLC,24
L'Equip Inc,65
Chadwick family,50
Melco Holdings Inc,65
JP Morgan Chase & Company,18
Severn Delta Ltd,65
Telecom plus plc,54
Inter Parfums Inc,47
Puig SL,27
Fresh Del Monte Produce Inc,15
DynCorp International Inc,47
Assicurazioni Generali spa,59
Mitiska nv,65
Montezuma's Direct Ltd,36
Alticor Inc.,56
Massimo Zanetti Industries SA,39
Ecozone (UK) Ltd,62
Ralph Lauren Corporation,12
Petroleo Brasileiro SA - Petrobras,47
Barnes & Noble Inc,30
Brewin Dolphin Holdings plc,65
F Duerr & Sons Ltd,65
Lastar Inc,65
The Fine Cheese Co,65
Faith in Nature Ltd,59
Eltax A/S,65
Compass Group plc,50
Pace-e-Solutions,65
3G Capital Inc,41
Ted Baker Plc,65
Iberdrola S.A.,36
Ecotoys Srl,65
AgroFair Europe,62
Ragione sapa di Gilberto Benetton,65
Nikon Corporation,15
IntegrIT Systems Ltd,54
Mackies Ltd,30
TPV Technology,27
Wacoal Holdings Corp,27
Luscombe Drinks Ltd (previously Luscombe Cider Ltd),71
Nokia Oyj,62
Industry Exchange Ltd (The),65
The People's Operator plc,65
Energizer Holdings,30
Bed Bath & Beyond,59
Adobe Systems Incorporated,27
Kosnic (UK) Ltd,65
Sandberg AS,65
SanDisk Corporation,65
Yorkshire Building Society,66
Elco Holdings,65
Bronwyn Lowenthal,39
Natural Organic Soap Company,65
Caradon Ideal Ltd,65
"Coca-Cola Company, The",0
Holz Toys Ltd,65
Potts Partnership Limited,65
Saratoga Limited,59
Source Sustainable Supply Chains Ltd,71
TomTom N.V.,65
Community Foods (Holdings) Ltd,65
ViewSonic Corporation,65
Lenox GmbH,54
Tomy Co Ltd,65
Online Commerce Ltd,65
European Metal Recycling Ltd,65
Deuter Sport GmbH,50
Bholdings Limited,59
Henkel AG & Co. KGaA,21
Jarvis Hotels,65
G.R. Lane Holdings Ltd,36
Freehold Group,65
G4S plc,18
Wiggly Wigglers Ltd,65
Arion Banki Hf,65
Greenfield Group Ltd,65
Star Micronics Co Ltd,65
Efad Holding,65
The Littleover Group,54
Solar Twin,65
Hamsin Ltd,65
Malayan United Industries Berhad,65
Elizabeth Shaw Ltd,59
"Fuller, Smith & Turner plc",18
Medela AG,65
Unicus Regulatory Services Ltd,65
Flowflex Components Ltd,65
NOVATEX GmbH Gummi- und Plastikfabrikation,65
Areva Group,36
Murphy Oil Corporation,65
Specsavers International Healthcare Ltd,45
Wilkinet,65
Mooncup Employee Ownership Employee Trustee Limited,68
Paypal,39
Whirlpool Corp,15
Combined Systems Inc,54
delta pronatura Dr. Krauss & Dr. Beckmann KG,33
O'Neill Inc,65
Judges Choice Pet Food Ltd,65
The Bridge SRL,62
VBites Foods Ltd,62
Roche Holding AG,62
Axminster Carpets Holdings Ltd,65
Britannia Building Society,24
Cotton Babies Inc,47
Billabong International Ltd,62
Dorel Industries Inc,21
Livos Pflanzenchemie GmbH und Co. KG,50
Wilkin & Sons Ltd,54
Leeds Building Society,66
National Trust,15
Love Coffee,36
Animal Abuse Injustice and Defence Society,68
Sätila Holding AB,65
Pirean Limited,65
