,category_link-href,company,rating,sd_rating
2645,https://directory.goodonyou.eco/categories/bags,Anndra Neen,Rated : Not good enough,25
2646,https://directory.goodonyou.eco/categories/suits,Sacoor Brothers,Rated : We avoid,0
2647,https://directory.goodonyou.eco/categories/bags,Rivers,Rated : Not good enough,25
2648,https://directory.goodonyou.eco/categories/shoes,Guidi,Rated : Not good enough,25
2649,https://directory.goodonyou.eco/categories/dresses,Topshop,Rated : It's a start,50
2650,https://directory.goodonyou.eco/categories/tops,Jamie + The Jones,Rated : Good,75
2651,https://directory.goodonyou.eco/categories/activewear,Cotton On,Rated : It's a start,50
2652,https://directory.goodonyou.eco/categories/basics,Sanuk,Rated : Not Good Enough,25
2653,https://directory.goodonyou.eco/categories/swimwear,Marlies Dekkers,Rated : Not good enough,25
2654,https://directory.goodonyou.eco/categories/basics,milo+nicki,Rated : Great,100
2655,https://directory.goodonyou.eco/categories/tops,Katrien Smets,Rated : Great,100
2656,https://directory.goodonyou.eco/categories/bags,V by Very,Rated : Not good enough,25
2657,https://directory.goodonyou.eco/categories/accessories,United By Blue,Rated : It's a start,50
2658,https://directory.goodonyou.eco/categories/basics,SKFK,Rated : Great,100
2659,https://directory.goodonyou.eco/categories/tops,Bozena Jankowska,Rated : Good,75
2660,https://directory.goodonyou.eco/categories/sleepwear,Francesca's,Rated : We avoid,0
2661,https://directory.goodonyou.eco/categories/sleepwear,Sussan,Rated : Not good enough,25
2662,https://directory.goodonyou.eco/categories/bags,Splendid,Rated : Not Good Enough,25
2663,https://directory.goodonyou.eco/categories/bottoms,Kirrin Finch,Rated : Great,100
2664,https://directory.goodonyou.eco/categories/outerwear,Miik,Rated : Good,75
2665,https://directory.goodonyou.eco/categories/outerwear,Dressarte Paris,Rated : Good,75
2666,https://directory.goodonyou.eco/categories/basics,Seidensticker,Rated : Not good enough,25
2667,https://directory.goodonyou.eco/categories/accessories,Nike,Rated : It's a start,50
2668,https://directory.goodonyou.eco/categories/tops,Good Krama,Rated : Good,75
2669,https://directory.goodonyou.eco/categories/accessories,Nau,Rated : It's a start,50
2670,https://directory.goodonyou.eco/categories/activewear,TALA,Rated : Good,75
2671,https://directory.goodonyou.eco/categories/basics,Delikate Rayne,Rated : Good,75
2672,https://directory.goodonyou.eco/categories/shoes,Coalatree,Rated : Good,75
