,category-href,company,rating,sd_rating
586,https://thegoodshoppingguide.com/subject/ethical-fashion-retailers/,H&M,75,75
587,https://thegoodshoppingguide.com/subject/chocolate/,Traidcraft,96,96
588,https://thegoodshoppingguide.com/subject/bananas/,Morrison's,67,67
589,https://thegoodshoppingguide.com/subject/yoghurt/,Danone,50,50
590,https://thegoodshoppingguide.com/subject/ethical-mortgages/,HSBC,22,22
591,https://thegoodshoppingguide.com/subject/tv-and-broadband/,plusnet,70,70
592,https://thegoodshoppingguide.com/subject/ethical-feminine-care/,Bodyform,54,54
593,https://thegoodshoppingguide.com/subject/ethical-banks-building-societies%e2%80%8d%e2%80%8d%e2%80%8d/,Cater Allen,39,39
594,https://thegoodshoppingguide.com/subject/ethical-banks-building-societies%e2%80%8d%e2%80%8d%e2%80%8d/,Triodos Bank,94,94
595,https://thegoodshoppingguide.com/subject/mobile-phones/,LG,58,58
596,https://thegoodshoppingguide.com/subject/crisps/,Golden Wonder,62,62
597,https://thegoodshoppingguide.com/subject/chocolate/,Milka,42,42
598,https://thegoodshoppingguide.com/subject/skincare/,Planted,85,85
599,https://thegoodshoppingguide.com/subject/ethical-dog-food/,V-Dog,100,100
600,https://thegoodshoppingguide.com/subject/beer-lager-and-cider/,Beck's,58,58
601,https://thegoodshoppingguide.com/subject/washing-machines/,Candy,91,91
602,https://thegoodshoppingguide.com/subject/ethical-banks-building-societies%e2%80%8d%e2%80%8d%e2%80%8d/,First Direct,22,22
603,https://thegoodshoppingguide.com/subject/beer-lager-and-cider/,Wadworth's 6X,62,62
604,https://thegoodshoppingguide.com/subject/soup/,New Covent Garden,46,46
605,https://thegoodshoppingguide.com/subject/ethical-furniture%e2%80%8d%e2%80%8d%e2%80%8d/,Marks & Spencer,50,50
606,https://thegoodshoppingguide.com/subject/shoes-trainers/,LK Bennett,65,65
607,https://thegoodshoppingguide.com/subject/cat-dog-food/,Hill's,36,36
608,https://thegoodshoppingguide.com/subject/bananas/,Budgens,75,75
609,https://thegoodshoppingguide.com/subject/jam-and-spreads/,Baxters,62,62
610,https://thegoodshoppingguide.com/subject/mobile-phones/,BlackBerry,92,92
611,https://thegoodshoppingguide.com/subject/shampoo-conditioner/,Redken,50,50
612,https://thegoodshoppingguide.com/subject/laundry-detergents/,Greenscents,95,95
613,https://thegoodshoppingguide.com/subject/soft-drinks/,Irn Bru,74,74
614,https://thegoodshoppingguide.com/subject/soft-drinks/,Whole Earth Cola,83,83
615,https://thegoodshoppingguide.com/subject/fridges-freezers/,New World,82,82
616,https://thegoodshoppingguide.com/subject/beer-lager-and-cider/,John Smiths,67,67
617,https://thegoodshoppingguide.com/subject/dishwashers/,Samsung,27,27
618,https://thegoodshoppingguide.com/subject/ethical-banks-building-societies%e2%80%8d%e2%80%8d%e2%80%8d/,Coventry Building Society,78,78
619,https://thegoodshoppingguide.com/subject/ethical-feminine-care/,Natracare,100,100
620,https://thegoodshoppingguide.com/subject/ice-cream/,Magnum,63,63
621,https://thegoodshoppingguide.com/subject/ethical-vitamins/,Floradix,87,87
622,https://thegoodshoppingguide.com/subject/soap/,Bentley Organic,69,69
623,https://thegoodshoppingguide.com/subject/ethical-feminine-care/,Bloom & Nora,83,83
624,https://thegoodshoppingguide.com/subject/ethical-toothpaste/,Green People,100,100
625,https://thegoodshoppingguide.com/subject/cat-dog-food/,Hi-Life,59,59
626,https://thegoodshoppingguide.com/subject/soap/,Imperial Leather,62,62
627,https://thegoodshoppingguide.com/subject/cat-dog-food/,AATU,91,91
628,https://thegoodshoppingguide.com/subject/paint/,Lakeland Paints,94,94
629,https://thegoodshoppingguide.com/subject/ethical-banks-building-societies%e2%80%8d%e2%80%8d%e2%80%8d/,Leeds Building Society,83,83
630,https://thegoodshoppingguide.com/subject/tinned-tuna/,Princes,27,27
631,https://thegoodshoppingguide.com/subject/mobile-phones/,iPhone,54,54
632,https://thegoodshoppingguide.com/subject/nappies/,Pampers,46,46
633,https://thegoodshoppingguide.com/subject/electricity-suppliers/,Power NI,85,85
634,https://thegoodshoppingguide.com/subject/cat-dog-food/,Pooch & Mutt,82,82
635,https://thegoodshoppingguide.com/subject/ethical-banks-building-societies%e2%80%8d%e2%80%8d%e2%80%8d/,Skipton Building Society,83,83
636,https://thegoodshoppingguide.com/subject/ethical-cleaners/,Cilit Bang,41,41
637,https://thegoodshoppingguide.com/subject/make-up/,Origins,42,42
638,https://thegoodshoppingguide.com/subject/tinned-tuna/,Marks & Spencer,68,68
639,https://thegoodshoppingguide.com/subject/pcs-laptops-and-tablets/,Packard Bell,92,92
640,https://thegoodshoppingguide.com/subject/ethical-furniture%e2%80%8d%e2%80%8d%e2%80%8d/,Myakka,100,100
641,https://thegoodshoppingguide.com/subject/tv-and-broadband/,Utility Warehouse,90,90
642,https://thegoodshoppingguide.com/subject/skincare/,Botanics,50,50
643,https://thegoodshoppingguide.com/subject/shampoo-conditioner/,OGX,27,27
644,https://thegoodshoppingguide.com/subject/ethical-fashion-retailers/,F&F at Tesco,50,50
645,https://thegoodshoppingguide.com/subject/washing-machines/,Stoves,82,82
646,https://thegoodshoppingguide.com/subject/ethical-feminine-care/,Tampax,42,42
647,https://thegoodshoppingguide.com/subject/bread/,Hovis,71,71
648,https://thegoodshoppingguide.com/subject/cat-dog-food/,Naturaw,91,91
649,https://thegoodshoppingguide.com/subject/ethical-fashion-retailers/,Wallis,50,50
650,https://thegoodshoppingguide.com/subject/fridges-freezers/,Whirlpool,68,68
651,https://thegoodshoppingguide.com/subject/make-up/,Estee Lauder,42,42
652,https://thegoodshoppingguide.com/subject/tv-and-broadband/,Vodafone,85,85
653,https://thegoodshoppingguide.com/subject/cat-dog-food/,Barking/Meowing Heads,91,91
654,https://thegoodshoppingguide.com/subject/ethical-furniture%e2%80%8d%e2%80%8d%e2%80%8d/,DFS,68,68
655,https://thegoodshoppingguide.com/subject/bottled-water/,Evian,45,45
656,https://thegoodshoppingguide.com/subject/cooking-oil/,Princes,29,29
657,https://thegoodshoppingguide.com/subject/kitchen-appliances/,Kenwood,91,91
658,https://thegoodshoppingguide.com/subject/ethical-mortgages/,Natwest,22,22
659,https://thegoodshoppingguide.com/subject/ethical-flower-delivery-companies/,Organic Blooms,85,85
660,https://thegoodshoppingguide.com/subject/ethical-banks-building-societies%e2%80%8d%e2%80%8d%e2%80%8d/,Metro Bank,72,72
661,https://thegoodshoppingguide.com/subject/bottled-water/,Highland Spring,100,100
662,https://thegoodshoppingguide.com/subject/soap/,Yardley,58,58
663,https://thegoodshoppingguide.com/subject/ethical-dog-food/,Butcher's,73,73
664,https://thegoodshoppingguide.com/subject/coffee/,Douwe Egberts,54,54
665,https://thegoodshoppingguide.com/subject/ethical-fashion-retailers/,Tu at Sainsbury's,57,57
666,https://thegoodshoppingguide.com/subject/ethical-insurance/,Naturesave,89,89
667,https://thegoodshoppingguide.com/subject/ethical-dog-food/,Beco,82,82
668,https://thegoodshoppingguide.com/subject/ethical-fashion-retailers/,Monsoon & Accessorize,57,57
669,https://thegoodshoppingguide.com/subject/electricity-suppliers/,British Gas,55,55
670,https://thegoodshoppingguide.com/subject/fridges-freezers/,Beko,68,68
671,https://thegoodshoppingguide.com/subject/coffee-shops/,Costa Coffee,65,65
672,https://thegoodshoppingguide.com/subject/pasta-pulse-and-rices/,Buitoni,54,54
673,https://thegoodshoppingguide.com/subject/paint/,Fired Earth,72,72
674,https://thegoodshoppingguide.com/subject/ethical-cleaners/,Ajax,36,36
675,https://thegoodshoppingguide.com/subject/boilers/,Bosch,64,64
676,https://thegoodshoppingguide.com/subject/electricity-suppliers/,First Utility,75,75
677,https://thegoodshoppingguide.com/subject/vegetarian-foods/,Goodlife,67,67
678,https://thegoodshoppingguide.com/subject/ethical-fashion-retailers/,Debenhams,71,71
679,https://thegoodshoppingguide.com/subject/ethical-mortgages/,TSB,66,66
680,https://thegoodshoppingguide.com/subject/tv-and-broadband/,John Lewis Broadband - supplied by plusnet,75,75
681,https://thegoodshoppingguide.com/subject/paint/,Auro,94,94
682,https://thegoodshoppingguide.com/subject/beer-lager-and-cider/,Carling,54,54
683,https://thegoodshoppingguide.com/subject/soft-drinks/,Pepsi,57,57
684,https://thegoodshoppingguide.com/subject/ethical-insurance/,John Lewis,61,61
685,https://thegoodshoppingguide.com/subject/mobile-networks/,O2,95,95
686,https://thegoodshoppingguide.com/subject/sun-protection/,Tropic Skincare,92,92
687,https://thegoodshoppingguide.com/subject/ethical-furniture%e2%80%8d%e2%80%8d%e2%80%8d/,Dunelm,77,77
688,https://thegoodshoppingguide.com/subject/beer-lager-and-cider/,Strongbow,67,67
689,https://thegoodshoppingguide.com/subject/pcs-laptops-and-tablets/,Zoostorm,71,71
690,https://thegoodshoppingguide.com/subject/ethical-banks-building-societies%e2%80%8d%e2%80%8d%e2%80%8d/,Nationwide Building Society,83,83
691,https://thegoodshoppingguide.com/subject/kettles/,Braun,41,41
692,https://thegoodshoppingguide.com/subject/soft-drinks/,Vimto,66,66
693,https://thegoodshoppingguide.com/subject/ethical-mortgages/,Leeds Building Society,83,83
694,https://thegoodshoppingguide.com/subject/fridges-freezers/,Neff,73,73
695,https://thegoodshoppingguide.com/subject/vaccum-cleaners/,Electrolux,77,77
696,https://thegoodshoppingguide.com/subject/shoes-trainers/,Asics,58,58
697,https://thegoodshoppingguide.com/subject/shoes-trainers/,Dr Martens,69,69
698,https://thegoodshoppingguide.com/subject/ethical-dog-food/,Edgard & Cooper,91,91
699,https://thegoodshoppingguide.com/subject/sugar/,Billington,56,56
