,directory_link-href,company,rating,sd_rating
140,http://www.corporatecritic.org/companiesatoz/The%20C.aspx,The Nero Company,???,-1
141,http://www.corporatecritic.org/companiesatoz/Price.aspx,Protein Limited,14,93
142,http://www.corporatecritic.org/companiesatoz/Maya.aspx,"Merisant Worldwide, Inc.",14,93
143,http://www.corporatecritic.org/companiesatoz/The%20W.aspx,"The Watermill, Little Salkeld",14,93
144,http://www.corporatecritic.org/companiesatoz/N.aspx,Nikko Group,14,93
145,http://www.corporatecritic.org/companiesatoz/R.aspx,Rascals International,???,-1
146,http://www.corporatecritic.org/companiesatoz/Delta.aspx,Deutsche Post AG,13.5,90
147,http://www.corporatecritic.org/companiesatoz/E.aspx,Edward Thompson Group,14,93
148,http://www.corporatecritic.org/companiesatoz/Mio%20T.aspx,Montagu Private Equity,14,93
149,http://www.corporatecritic.org/companiesatoz/Whitt.aspx,Windmill Organics Ltd,13.5,90
150,http://www.corporatecritic.org/companiesatoz/Flowf.aspx,Froneri [WAS R&R Ice Cream Ltd},1,6
151,http://www.corporatecritic.org/companiesatoz/U.aspx,Uniross Batteries SA,14,93
152,http://www.corporatecritic.org/companiesatoz/U.aspx,Uniqlooks,14,93
153,http://www.corporatecritic.org/companiesatoz/Flowf.aspx,Fruit Drinks Limited,???,-1
154,http://www.corporatecritic.org/companiesatoz/Y.aspx,Yingli Green Energy Holding Company Ltd,8.5,56
155,http://www.corporatecritic.org/companiesatoz/Skadd.aspx,Sonneborn & Rieck,14,93
156,http://www.corporatecritic.org/companiesatoz/K.aspx,Kontoor Brands Inc,???,-1
157,http://www.corporatecritic.org/companiesatoz/O.aspx,Oki Electric Industry,14,93
158,http://www.corporatecritic.org/companiesatoz/BMK%20H.aspx,Brio AB,14,93
159,http://www.corporatecritic.org/companiesatoz/Hero.aspx,HISBE Food CIC,???,-1
160,http://www.corporatecritic.org/companiesatoz/123.aspx,[HISTORICAL RECORD] IWP International Plc,14,93
161,http://www.corporatecritic.org/companiesatoz/D.aspx,Davines SPA,???,-1
162,http://www.corporatecritic.org/companiesatoz/Phile.aspx,Pixley Berries (Juice) Ltd,14,93
163,http://www.corporatecritic.org/companiesatoz/A.aspx,Accor SA,14,93
164,http://www.corporatecritic.org/companiesatoz/Lette.aspx,Linco Care Ltd,14,93
165,http://www.corporatecritic.org/companiesatoz/D.aspx,Daily Mail & General Trust,13.5,90
166,http://www.corporatecritic.org/companiesatoz/T.aspx,The BenRiach Distillery Company Ltd,14,93
167,http://www.corporatecritic.org/companiesatoz/Scott.aspx,Seasalt Limited,10,66
168,http://www.corporatecritic.org/companiesatoz/Group.aspx,Groupe Eurotunnel SA,14,93
169,http://www.corporatecritic.org/companiesatoz/D.aspx,Dana Petroleum Plc,14,93
170,http://www.corporatecritic.org/companiesatoz/E.aspx,EW King & Co Ltd,14,93
171,http://www.corporatecritic.org/companiesatoz/Clove.aspx,COFRA Holding AG,3.5,23
172,http://www.corporatecritic.org/companiesatoz/TPG.aspx,Transcend Information Inc,14,93
173,http://www.corporatecritic.org/companiesatoz/Y.aspx,Yell Group plc,14,93
174,http://www.corporatecritic.org/companiesatoz/Maya.aspx,Milk Link,14,93
175,http://www.corporatecritic.org/companiesatoz/Hero.aspx,Hugo Boss AG,7,46
176,http://www.corporatecritic.org/companiesatoz/R.aspx,Redrow Plc,14,93
177,http://www.corporatecritic.org/companiesatoz/Specs.aspx,Stichting Aandelen Remeha,12,80
178,http://www.corporatecritic.org/companiesatoz/B.aspx,Bamboo Clothing Ltd,10,66
179,http://www.corporatecritic.org/companiesatoz/Asda%20.aspx,Atlantic Brewery,???,-1
180,http://www.corporatecritic.org/companiesatoz/%C3%89.aspx,East End Foods,(9.5),63
181,http://www.corporatecritic.org/companiesatoz/Skadd.aspx,Soya Group,14,93
